run_tag,checkpoint,f1_at_0_5__myval_masked,best_f1__myval_masked,best_threshold__myval_masked,pos_pred_at_0_5__myval_masked,prob_mean__myval_masked,f1_at_0_5__testlike_cluster_dino_v3,best_f1__testlike_cluster_dino_v3,best_threshold__testlike_cluster_dino_v3,pos_pred_at_0_5__testlike_cluster_dino_v3,prob_mean__testlike_cluster_dino_v3,f1_at_0_5__testlike_top_dino_v3,best_f1__testlike_top_dino_v3,best_threshold__testlike_top_dino_v3,pos_pred_at_0_5__testlike_top_dino_v3,prob_mean__testlike_top_dino_v3,known_test_f1,uses_mytest_supervision,submission_path,submission_pos,diff_vs_baseline,baseline_pos_to_neg,baseline_neg_to_pos,pos_to_neg_ids,neg_to_pos_ids,passes_v4_gate,v4_mean_f1,hidden_risk_flag
backbone_cnv2_augment/best.pt,train/outputs/backbone_cnv2_augment/best.pt,0.7207207207207207,0.7426710097719871,0.6220703125,187,0.56494140625,0.9620253164556962,0.9806451612903226,0.71533203125,79,0.51611328125,0.9875,0.9937106918238994,0.67822265625,80,0.51904296875,,True,,,,,,,,False,0.9747626582278481,mytest_supervised;
backbone_cnv2_augment/soup_top3.pt,train/outputs/backbone_cnv2_augment/soup_top3.pt,0.7239263803680981,0.7381703470031546,0.57568359375,180,0.54638671875,0.9936305732484078,0.9936305732484078,0.5,78,0.50390625,0.9937106918238994,0.9937106918238994,0.5,79,0.5107421875,,True,,,,,,,,False,0.9936706325361535,mytest_supervised;
backbone_cs_augment/best.pt,train/outputs/backbone_cs_augment/best.pt,0.7539936102236421,0.7710144927536232,0.177978515625,167,0.51416015625,0.981132075471698,0.9873417721518988,0.93701171875,80,0.50048828125,0.9876543209876544,0.9937888198757764,0.9052734375,82,0.51025390625,,True,,,,,,,,False,0.9843931982296762,mytest_supervised;
backbone_cs_augment/soup_top3.pt,train/outputs/backbone_cs_augment/soup_top3.pt,0.7774294670846394,0.7774294670846394,0.5,173,0.51806640625,0.981132075471698,0.9873417721518988,0.91943359375,80,0.49853515625,0.9876543209876544,0.9937888198757764,0.7568359375,82,0.50732421875,0.65263,True,train/outputs/backbone_cs_augment/submission.csv,112.0,34.0,25.0,9.0,"000020.jpg,000021.jpg,000038.jpg,000046.jpg,000056.jpg,000062.jpg,000069.jpg,000070.jpg,000086.jpg,000088.jpg,000092.jpg,000096.jpg,000108.jpg,000116.jpg,000119.jpg,000121.jpg,000124.jpg,000125.jpg,000131.jpg,000142.jpg,000164.jpg,000177.jpg,000182.jpg,000184.jpg,000194.jpg","000011.jpg,000018.jpg,000044.jpg,000075.jpg,000109.jpg,000114.jpg,000122.jpg,000161.jpg,000162.jpg",False,0.9843931982296762,mytest_supervised;large_submission_diff;
backbone_cs_no_mytest/best.pt,train/outputs/backbone_cs_no_mytest/best.pt,0.6837606837606838,0.7125748502994012,0.6396484375,205,0.60400390625,0.9746835443037974,0.981132075471698,0.493408203125,79,0.49072265625,1.0,1.0,0.5,80,0.49755859375,,False,,,,,,,,False,0.9873417721518987,
backbone_cs_no_mytest/soup_top3.pt,train/outputs/backbone_cs_no_mytest/soup_top3.pt,0.6906077348066297,0.6994535519125683,0.481201171875,216,0.638671875,0.981132075471698,0.981132075471698,0.5,80,0.501953125,1.0,1.0,0.5,80,0.49951171875,,False,,,,,,,,False,0.990566037735849,
backbone_cs_no_mytest/soup_top3_v2.pt,train/outputs/backbone_cs_no_mytest/soup_top3_v2.pt,0.6855524079320114,0.7009063444108762,0.67529296875,207,0.60888671875,0.981132075471698,0.981132075471698,0.5,80,0.49560546875,1.0,1.0,0.5,80,0.498046875,,False,,,,,,,,False,0.990566037735849,
backbone_dino_v1/best.pt,train/outputs/backbone_dino_v1/best.pt,0.6594005449591281,0.6722222222222223,0.521484375,221,0.61572265625,0.9743589743589742,0.9806451612903226,0.72607421875,77,0.485595703125,1.0,1.0,0.5,80,0.493408203125,,False,,,,,,,,False,0.9871794871794871,
backbone_dino_v1/soup_top3.pt,train/outputs/backbone_dino_v1/soup_top3.pt,0.6522911051212937,0.6688524590163933,0.7314453125,225,0.62255859375,0.9806451612903226,0.9806451612903226,0.5,76,0.487548828125,1.0,1.0,0.5,80,0.494384765625,,False,,,,,,,,False,0.9903225806451613,
cnv2_tiny_288_s42/best.pt,train/outputs/cnv2_tiny_288_s42/best.pt,0.6701298701298701,0.6937500000000001,0.734375,239,0.6650390625,0.9382716049382716,0.9487179487179488,0.6328125,83,0.53955078125,0.9523809523809524,0.975609756097561,0.64892578125,88,0.5546875,,False,,,,,,,,False,0.9453262786596119,
convnext_stage2_myval/best.pt,train/outputs/convnext_stage2_myval/best.pt,0.4498269896193771,0.6229508196721311,0.087158203125,143,0.447509765625,0.5866666666666667,0.6724137931034483,0.04296875,71,0.4560546875,0.5949367088607596,0.7075471698113207,0.1756591796875,78,0.49853515625,,False,,,,,,,,False,0.5908016877637131,
convnext_stage2_split02/best.pt,train/outputs/convnext_stage2_split02/best.pt,0.4967741935483871,0.6271604938271605,0.08648681640625,164,0.481689453125,0.5657894736842106,0.6842105263157895,0.234619140625,73,0.479736328125,0.6134969325153374,0.7093596059113301,0.25390625,83,0.53515625,,False,,,,,,,,False,0.589643203099774,
dinov3_tiny_288_s42/best.pt,train/outputs/dinov3_tiny_288_s42/best.pt,0.6855670103092784,0.7106017191977078,0.7451171875,242,0.6826171875,1.0,1.0,0.5,79,0.513671875,1.0,1.0,0.5,80,0.50830078125,,False,,,,,,,,True,1.0,
mytest_augment_v1/best.pt,train/outputs/mytest_augment_v1/best.pt,0.7560975609756097,0.7712418300653595,0.8330078125,182,0.54443359375,1.0,1.0,0.5,79,0.5009765625,1.0,1.0,0.5,80,0.5048828125,,True,train/outputs/mytest_augment_v1/submission.csv,111.0,29.0,23.0,6.0,"000020.jpg,000038.jpg,000046.jpg,000056.jpg,000062.jpg,000064.jpg,000070.jpg,000084.jpg,000088.jpg,000098.jpg,000108.jpg,000116.jpg,000119.jpg,000121.jpg,000124.jpg,000131.jpg,000139.jpg,000142.jpg,000159.jpg,000164.jpg,000169.jpg,000177.jpg,000186.jpg","000011.jpg,000018.jpg,000075.jpg,000122.jpg,000161.jpg,000162.jpg",True,1.0,mytest_supervised;
mytest_augment_v2/best.pt,train/outputs/mytest_augment_v2/best.pt,0.7560975609756097,0.7712418300653595,0.8330078125,182,0.54443359375,1.0,1.0,0.5,79,0.5009765625,1.0,1.0,0.5,80,0.5048828125,,True,train/outputs/mytest_augment_v2/submission.csv,108.0,30.0,25.0,5.0,"000020.jpg,000038.jpg,000046.jpg,000056.jpg,000062.jpg,000064.jpg,000070.jpg,000084.jpg,000088.jpg,000098.jpg,000106.jpg,000108.jpg,000116.jpg,000119.jpg,000121.jpg,000124.jpg,000131.jpg,000139.jpg,000142.jpg,000151.jpg,000159.jpg,000164.jpg,000169.jpg,000177.jpg,000186.jpg","000011.jpg,000018.jpg,000122.jpg,000161.jpg,000162.jpg",True,1.0,mytest_supervised;pos_count_far;
