model_name,C,class_weight,myval_f1_at_0_5,myval_best_f1,myval_best_threshold,myval_n,myval_pos_true,myval_pos_pred_at_0_5,myval_prob_mean,myval_prob_median,v4_cluster_f1_at_0_5,v4_cluster_best_f1,v4_cluster_best_threshold,v4_cluster_n,v4_cluster_pos_true,v4_cluster_pos_pred_at_0_5,v4_cluster_prob_mean,v4_cluster_prob_median,v4_top_f1_at_0_5,v4_top_best_f1,v4_top_best_threshold,v4_top_n,v4_top_pos_true,v4_top_pos_pred_at_0_5,v4_top_prob_mean,v4_top_prob_median,test_available_n,test_missing_filled_from_baseline,test_available_pos_pred_at_0_5,test_pos_pred_at_0_5,test_prob_mean,diff_vs_baseline,baseline_pos_to_neg,baseline_neg_to_pos
vit_base_patch32_clip_224,3.0,balanced,0.6139817629179332,0.661498708010336,8.403522660943294e-05,332,146,183,0.5408263581748783,0.851737606198592,1.0,1.0,0.5,160,79,79,0.5014730786424513,0.355890567008685,1.0,1.0,0.5,160,80,80,0.5079503601754696,0.5741280089724246,176,18,102,110,0.5746439921447599,48,33,15
vit_base_patch32_clip_224,10.0,balanced,0.6116207951070336,0.656084656084656,1.7451978514052792e-06,332,146,181,0.5376934686731848,0.9153317086158944,1.0,1.0,0.5,160,79,79,0.49667216416459536,0.14320056516505644,1.0,1.0,0.5,160,80,80,0.5031972318740325,0.5245675799862779,176,18,102,110,0.5751490101544848,54,36,18
vit_base_patch32_clip_224,1.0,balanced,0.6073619631901841,0.6735751295336787,0.001886725103695953,332,146,180,0.5392601268790979,0.7775370608770888,0.9811320754716981,0.9936305732484076,0.5669057360785428,160,79,80,0.5055566032017651,0.479749250092101,0.9876543209876543,0.9937888198757764,0.6226093366575003,160,80,82,0.5133518252914089,0.6245164932139575,176,18,102,110,0.5769779018017828,48,33,15
vit_base_patch32_clip_224,0.3,balanced,0.6121212121212121,0.6909090909090909,0.02735115378705346,332,146,184,0.5488642689644134,0.6997999917416609,0.9358974358974359,0.9565217391304348,0.4265379597755022,160,79,77,0.509743040364989,0.4781211737464731,0.9625,0.9815950920245399,0.4265379597755022,160,80,80,0.5194329526598718,0.5067192300575163,176,18,102,110,0.5805052700598551,48,33,15
vit_base_patch32_clip_224,0.1,balanced,0.6309523809523809,0.6851385390428212,0.06604242016282869,332,146,190,0.5656432095284003,0.6882117490393025,0.9125,0.9419354838709677,0.6023847367148666,160,79,81,0.5149807118116152,0.5336531711280141,0.9440993788819876,0.9681528662420382,0.7444680507733288,160,80,81,0.5259674825000632,0.5567171240336435,176,18,102,110,0.5797819085811059,48,33,15
vit_base_patch32_clip_224,0.03,balanced,0.6153846153846154,0.6736292428198434,0.26005509406037014,332,146,192,0.5898822769878789,0.7071753700618054,0.906832298136646,0.9240506329113924,0.619970235040647,160,79,82,0.5212854289104634,0.5374017639978377,0.9440993788819876,0.9548387096774194,0.755732666722704,160,80,81,0.5340845880832179,0.5844125615152289,176,18,101,109,0.5739725204038261,43,31,12
vit_base_patch32_clip_224,0.01,balanced,0.6458923512747875,0.6682808716707022,0.17077550876584752,332,146,207,0.6020253877114751,0.7086401468755743,0.8711656441717791,0.8780487804878049,0.49649112669006945,160,79,84,0.5231925512023239,0.5578880072645036,0.926829268292683,0.9433962264150944,0.5838550551302671,160,80,84,0.5417228642714799,0.568342183694089,176,18,103,111,0.5671181483446482,37,27,10
