model_name,C,class_weight,myval_f1_at_0_5,myval_best_f1,myval_best_threshold,myval_n,myval_pos_true,myval_pos_pred_at_0_5,myval_prob_mean,myval_prob_median,v4_cluster_f1_at_0_5,v4_cluster_best_f1,v4_cluster_best_threshold,v4_cluster_n,v4_cluster_pos_true,v4_cluster_pos_pred_at_0_5,v4_cluster_prob_mean,v4_cluster_prob_median,v4_top_f1_at_0_5,v4_top_best_f1,v4_top_best_threshold,v4_top_n,v4_top_pos_true,v4_top_pos_pred_at_0_5,v4_top_prob_mean,v4_top_prob_median,test_available_n,test_missing_filled_from_baseline,test_available_pos_pred_at_0_5,test_pos_pred_at_0_5,test_prob_mean,diff_vs_baseline,baseline_pos_to_neg,baseline_neg_to_pos
vit_base_patch16_siglip_224,10.0,none,0.6328358208955224,0.6628895184135978,0.02638565583058925,332,146,189,0.5666743766325814,0.9714420279424156,1.0,1.0,0.5,160,79,79,0.49907127941816104,0.23258448050032898,1.0,1.0,0.5,160,80,80,0.5035471487316877,0.5917775914605139,176,18,95,103,0.5462953346487402,49,37,12
vit_base_patch16_siglip_224,3.0,none,0.6328358208955224,0.6609195402298851,0.11965932229524882,332,146,189,0.5672494306887255,0.9260853879981195,0.9937106918238994,1.0,0.7490966422598647,160,79,80,0.5050687463679159,0.4757439203479745,0.9937888198757764,1.0,0.8104759279646336,160,80,81,0.5077235278486013,0.6888288459546826,176,18,95,103,0.5442295341005002,49,37,12
vit_base_patch16_siglip_224,1.0,none,0.6548672566371682,0.6609686609686609,0.14124887145954207,332,146,193,0.5681855505618597,0.8725324767954854,0.9813664596273292,0.9937106918238994,0.6170784115570621,160,79,82,0.5136330158995184,0.6140981488734757,0.9937888198757764,0.9937888198757764,0.5,160,80,81,0.5128688499925337,0.804596173821422,176,18,97,105,0.5431569608532244,45,34,11
vit_base_patch16_siglip_224,0.3,none,0.6449704142011834,0.6574585635359116,0.14401731926955588,332,146,192,0.5639653533728163,0.7978561687136891,0.9512195121951219,0.9625,0.7173948675404268,160,79,85,0.5228737965472536,0.7211386694874286,0.9815950920245399,0.9876543209876543,0.6852772041392341,160,80,83,0.5176247198220867,0.8185217666391693,176,18,97,105,0.5402281125817511,47,35,12
vit_base_patch16_siglip_224,0.1,none,0.6390532544378699,0.6481994459833795,0.2191843500802302,332,146,192,0.5633912989098666,0.7184608874904483,0.9454545454545454,0.9454545454545454,0.5,160,79,86,0.5309419785238161,0.7010322882129747,0.9815950920245399,0.9815950920245399,0.5,160,80,83,0.5213188835174432,0.8462569141682452,176,18,96,104,0.5390758172219958,46,35,11
vit_base_patch16_siglip_224,0.03,none,0.6227544910179641,0.6525198938992043,0.18062822553963795,332,146,188,0.56456714610067,0.7034995252264091,0.9146341463414634,0.9285714285714286,0.4095227822959859,160,79,85,0.5387401187048826,0.6846623789723315,0.975609756097561,0.9815950920245399,0.6894101856552706,160,80,84,0.5281864765338183,0.792569231612799,176,18,99,107,0.536870102106218,41,31,10
vit_base_patch16_siglip_224,0.01,none,0.608433734939759,0.6534653465346535,0.13642674406236888,332,146,186,0.5694436040606693,0.6657469122114649,0.9090909090909091,0.9146341463414634,0.5652129613268546,160,79,86,0.5445969347889774,0.6528830544760937,0.975609756097561,0.975609756097561,0.5,160,80,84,0.5382324491149116,0.7792452093044637,176,18,100,108,0.5365909626805141,42,31,11
