rule,n_selected,selected_ids,known_inferred_fp_hits,one_of_three_selected,mean_fp_risk,mean_soup_prob,mean_alt_pos_frac
inferred_88_177,2,"000177.jpg,000088.jpg",2,0,0.8743164062500002,0.80029296875,0.08333333333333333
dino_risk_top5,5,"000131.jpg,000108.jpg,000177.jpg,000088.jpg,000124.jpg",2,3,0.8939453125000002,0.7490234375,0.2
alt_majority_negative_high_risk,7,"000131.jpg,000108.jpg,000177.jpg,000088.jpg,000124.jpg,000020.jpg,000106.jpg",2,3,0.8775781250000001,0.7826450892857143,0.16666666666666669
top5_pos_zero_and_dinomlp_neg,10,"000131.jpg,000108.jpg,000177.jpg,000088.jpg,000124.jpg,000020.jpg,000106.jpg,000082.jpg,000138.jpg,000035.jpg",2,3,0.8709003906250002,0.819873046875,0.3333333333333333
dino_risk_top3,3,"000131.jpg,000108.jpg,000177.jpg",1,2,0.9071614583333334,0.7141927083333334,0.2222222222222222
strict_consensus_neg,7,"000131.jpg,000108.jpg,000177.jpg,000124.jpg,000020.jpg,000106.jpg,000138.jpg",1,3,0.8749748883928571,0.7894112723214286,0.2619047619047619
dino_risk_top2,2,"000131.jpg,000108.jpg",0,2,0.9173828125,0.6630859375,0.25
